11:34:26.899144 config: drop-rate=0.20, max-delay=10ms, seed=1
10:12:14.370148 [queue=0] packet #0, 127.0.0.1:33146 -> 127.0.0.1:8007, sz=0 is delivered
10:12:14.370262 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:33146, sz=0 is dropped
11:19:51.117964 config: drop-rate=0.20, max-delay=10ms, seed=1
11:19:51.118145 router is listening at :3000
11:19:54.061545 [queue=1] packet #0, 127.0.0.1:53763 -> 127.0.0.1:3000, sz=37 is delayed for 8.7ms
11:19:54.070847 [queue=1] packet #0, 127.0.0.1:3000 -> 127.0.0.1:53763, sz=37 is delayed for 5.9ms
11:19:54.070854 [queue=0] packet #0, 127.0.0.1:53763 -> 127.0.0.1:3000, sz=37 is delivered
11:19:54.077063 [queue=0] packet #0, 127.0.0.1:3000 -> 127.0.0.1:53763, sz=37 is delivered
11:20:44.006275 [queue=1] packet #0, 127.0.0.1:47589 -> 127.0.0.1:8007, sz=37 is delayed for 1.8ms
11:20:44.008544 [queue=0] packet #0, 127.0.0.1:47589 -> 127.0.0.1:8007, sz=37 is delivered
11:20:44.008708 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:47589, sz=37 is dropped
11:54:53.839210 [queue=0] packet #0, 127.0.0.1:37960 -> 127.0.0.1:8007, sz=37 is dropped
11:55:00.452022 [queue=0] packet #0, 127.0.0.1:33724 -> 127.0.0.1:8007, sz=37 is dropped
11:55:07.229026 [queue=1] packet #0, 127.0.0.1:54896 -> 127.0.0.1:8007, sz=37 is delayed for 9.4ms
11:55:07.239326 [queue=0] packet #0, 127.0.0.1:54896 -> 127.0.0.1:8007, sz=37 is delivered
11:56:05.655601 [queue=1] packet #0, 127.0.0.1:33617 -> 127.0.0.1:8007, sz=37 is delayed for 6.2ms
11:56:05.662866 [queue=0] packet #0, 127.0.0.1:33617 -> 127.0.0.1:8007, sz=37 is delivered
11:56:05.663414 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:33617, sz=16 is delayed for 2.8ms
11:56:05.666642 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:33617, sz=16 is delivered
11:56:52.729564 [queue=1] packet #0, 127.0.0.1:50484 -> 127.0.0.1:8007, sz=37 is delayed for 1.1ms
11:56:52.731847 [queue=0] packet #0, 127.0.0.1:50484 -> 127.0.0.1:8007, sz=37 is delivered
11:56:52.732401 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50484, sz=16 is delayed for 3.7ms
11:56:52.736693 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50484, sz=16 is delivered
11:57:21.754643 [queue=1] packet #0, 127.0.0.1:54869 -> 127.0.0.1:8007, sz=37 is delayed for 9.5ms
11:57:21.764951 [queue=0] packet #0, 127.0.0.1:54869 -> 127.0.0.1:8007, sz=37 is delivered
11:57:21.765506 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:54869, sz=16 is delayed for 2.8ms
11:57:21.768796 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:54869, sz=16 is delivered
11:57:56.854600 [queue=1] packet #0, 127.0.0.1:57397 -> 127.0.0.1:8007, sz=37 is delayed for 4.7ms
11:57:56.859863 [queue=0] packet #0, 127.0.0.1:57397 -> 127.0.0.1:8007, sz=37 is delivered
11:58:33.463834 [queue=1] packet #0, 127.0.0.1:44777 -> 127.0.0.1:8007, sz=37 is delayed for 8.7ms
11:58:33.473154 [queue=0] packet #0, 127.0.0.1:44777 -> 127.0.0.1:8007, sz=37 is delivered
11:59:31.601211 [queue=1] packet #0, 127.0.0.1:48066 -> 127.0.0.1:8007, sz=37 is delayed for 9ms
11:59:31.610533 [queue=0] packet #0, 127.0.0.1:48066 -> 127.0.0.1:8007, sz=37 is delivered
12:00:30.114256 [queue=1] packet #0, 127.0.0.1:50354 -> 127.0.0.1:8007, sz=37 is delayed for 4.1ms
12:00:30.119482 [queue=0] packet #0, 127.0.0.1:50354 -> 127.0.0.1:8007, sz=37 is delivered
12:07:14.338704 [queue=0] packet #0, 127.0.0.1:42963 -> 127.0.0.1:8007, sz=37 is dropped
12:07:19.365659 [queue=0] packet #0, 127.0.0.1:54887 -> 127.0.0.1:8007, sz=37 is dropped
12:07:27.570157 [queue=1] packet #0, 127.0.0.1:40717 -> 127.0.0.1:8007, sz=37 is delayed for 2.9ms
12:07:27.573407 [queue=0] packet #0, 127.0.0.1:40717 -> 127.0.0.1:8007, sz=37 is delivered
12:07:27.573866 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:40717, sz=54 is dropped
12:08:05.092597 [queue=1] packet #0, 127.0.0.1:51211 -> 127.0.0.1:8007, sz=37 is delayed for 3.1ms
12:08:05.096870 [queue=0] packet #0, 127.0.0.1:51211 -> 127.0.0.1:8007, sz=37 is delivered
12:08:05.097495 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51211, sz=54 is delayed for 2.6ms
12:08:05.100713 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51211, sz=54 is delivered
12:08:26.521088 [queue=0] packet #0, 127.0.0.1:40414 -> 127.0.0.1:8007, sz=37 is dropped
12:08:33.489425 [queue=1] packet #0, 127.0.0.1:42912 -> 127.0.0.1:8007, sz=37 is delayed for 9.4ms
12:08:33.499692 [queue=0] packet #0, 127.0.0.1:42912 -> 127.0.0.1:8007, sz=37 is delivered
12:08:33.500263 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:42912, sz=54 is delayed for 3.3ms
12:08:33.504460 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:42912, sz=54 is delivered
12:25:55.331605 [queue=1] packet #0, 127.0.0.1:53293 -> 127.0.0.1:8007, sz=37 is delayed for 7.8ms
12:25:55.339882 [queue=0] packet #0, 127.0.0.1:53293 -> 127.0.0.1:8007, sz=37 is delivered
12:25:55.340355 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:53293, sz=69 is delayed for 5.9ms
12:25:55.346599 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:53293, sz=69 is delivered
12:26:16.802641 [queue=1] packet #0, 127.0.0.1:38817 -> 127.0.0.1:8007, sz=37 is delayed for 5.7ms
12:26:16.808902 [queue=0] packet #0, 127.0.0.1:38817 -> 127.0.0.1:8007, sz=37 is delivered
12:26:16.809494 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:38817, sz=69 is delayed for 8.9ms
12:26:16.818751 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:38817, sz=69 is delivered
12:26:34.809526 [queue=0] packet #0, 127.0.0.1:56171 -> 127.0.0.1:8007, sz=37 is dropped
12:26:40.991640 [queue=1] packet #0, 127.0.0.1:41225 -> 127.0.0.1:8007, sz=37 is delayed for 500µs
12:26:40.992788 [queue=0] packet #0, 127.0.0.1:41225 -> 127.0.0.1:8007, sz=37 is delivered
12:26:40.992964 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41225, sz=82 is delayed for 3.8ms
12:26:40.997202 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41225, sz=82 is delivered
12:27:05.124242 [queue=1] packet #0, 127.0.0.1:59181 -> 127.0.0.1:8007, sz=37 is delayed for 5.5ms
12:27:05.130579 [queue=0] packet #0, 127.0.0.1:59181 -> 127.0.0.1:8007, sz=37 is delivered
12:27:05.131189 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:59181, sz=82 is delayed for 1ms
12:27:05.132338 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:59181, sz=82 is delivered
12:33:06.524735 [queue=1] packet #0, 127.0.0.1:47220 -> 127.0.0.1:8007, sz=47 is delayed for 5.6ms
12:33:06.531083 [queue=0] packet #0, 127.0.0.1:47220 -> 127.0.0.1:8007, sz=47 is delivered
12:33:06.531637 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:47220, sz=51 is dropped
12:33:21.567157 [queue=1] packet #0, 127.0.0.1:39706 -> 127.0.0.1:8007, sz=47 is delayed for 6.1ms
12:33:21.574465 [queue=0] packet #0, 127.0.0.1:39706 -> 127.0.0.1:8007, sz=47 is delivered
12:33:21.574706 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:39706, sz=51 is delayed for 8.3ms
12:33:21.583960 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:39706, sz=51 is delivered
12:35:38.738784 [queue=1] packet #0, 127.0.0.1:49728 -> 127.0.0.1:8007, sz=55 is delayed for 6.3ms
12:35:38.746084 [queue=0] packet #0, 127.0.0.1:49728 -> 127.0.0.1:8007, sz=55 is delivered
12:35:38.747002 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:49728, sz=20 is delayed for 200µs
12:35:38.748190 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:49728, sz=20 is delivered
12:36:37.534479 [queue=1] packet #0, 127.0.0.1:52417 -> 127.0.0.1:8007, sz=74 is delayed for 4.7ms
12:36:37.539822 [queue=0] packet #0, 127.0.0.1:52417 -> 127.0.0.1:8007, sz=74 is delivered
12:36:37.540186 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:52417, sz=17 is delayed for 7.7ms
12:36:37.548440 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:52417, sz=17 is delivered
12:38:38.837507 [queue=1] packet #0, 127.0.0.1:36297 -> 127.0.0.1:8007, sz=74 is delayed for 9.6ms
12:38:38.847758 [queue=0] packet #0, 127.0.0.1:36297 -> 127.0.0.1:8007, sz=74 is delivered
12:38:38.848824 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:36297, sz=18 is delayed for 2.3ms
12:38:38.852084 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:36297, sz=18 is delivered
12:40:32.134478 [queue=1] packet #0, 127.0.0.1:52978 -> 127.0.0.1:8007, sz=74 is delayed for 3.7ms
12:40:32.138760 [queue=0] packet #0, 127.0.0.1:52978 -> 127.0.0.1:8007, sz=74 is delivered
12:40:32.139538 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:52978, sz=18 is delayed for 4.1ms
12:40:32.144780 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:52978, sz=18 is delivered
12:41:02.885961 [queue=1] packet #0, 127.0.0.1:42943 -> 127.0.0.1:8007, sz=74 is delayed for 3.3ms
12:41:02.890218 [queue=0] packet #0, 127.0.0.1:42943 -> 127.0.0.1:8007, sz=74 is delivered
12:41:02.890989 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:42943, sz=16 is delayed for 9.1ms
12:41:02.901228 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:42943, sz=16 is delivered
12:41:13.850400 [queue=1] packet #0, 127.0.0.1:60384 -> 127.0.0.1:8007, sz=74 is delayed for 7.8ms
12:41:13.858672 [queue=0] packet #0, 127.0.0.1:60384 -> 127.0.0.1:8007, sz=74 is delivered
12:41:13.858910 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:60384, sz=16 is delayed for 4.6ms
12:41:13.864141 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:60384, sz=16 is delivered
12:42:49.962838 [queue=1] packet #0, 127.0.0.1:41644 -> 127.0.0.1:8007, sz=74 is delayed for 4ms
12:42:49.967127 [queue=0] packet #0, 127.0.0.1:41644 -> 127.0.0.1:8007, sz=74 is delivered
12:42:49.968338 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41644, sz=16 is delayed for 5.2ms
12:42:49.974558 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41644, sz=16 is delivered
12:43:09.199841 [queue=0] packet #0, 127.0.0.1:46381 -> 127.0.0.1:8007, sz=74 is dropped
12:43:15.583338 [queue=1] packet #0, 127.0.0.1:42055 -> 127.0.0.1:8007, sz=74 is delayed for 9.8ms
12:43:15.593616 [queue=0] packet #0, 127.0.0.1:42055 -> 127.0.0.1:8007, sz=74 is delivered
12:43:15.594491 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:42055, sz=16 is delayed for 5.1ms
12:43:15.600717 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:42055, sz=16 is delivered
12:43:45.394874 [queue=1] packet #0, 127.0.0.1:55847 -> 127.0.0.1:8007, sz=74 is delayed for 5.7ms
12:43:45.401114 [queue=0] packet #0, 127.0.0.1:55847 -> 127.0.0.1:8007, sz=74 is delivered
12:43:45.401766 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55847, sz=16 is delayed for 1ms
12:43:45.402932 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55847, sz=16 is delivered
12:44:54.599363 [queue=0] packet #0, 127.0.0.1:48471 -> 127.0.0.1:8007, sz=74 is dropped
12:45:00.869286 [queue=1] packet #0, 127.0.0.1:51595 -> 127.0.0.1:8007, sz=74 is delayed for 9ms
12:45:00.878560 [queue=0] packet #0, 127.0.0.1:51595 -> 127.0.0.1:8007, sz=74 is delivered
12:45:00.879375 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51595, sz=18 is delayed for 9.8ms
12:45:00.889646 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51595, sz=18 is delivered
12:45:41.021708 [queue=1] packet #0, 127.0.0.1:36561 -> 127.0.0.1:8007, sz=55 is delayed for 9.1ms
12:45:41.030943 [queue=0] packet #0, 127.0.0.1:36561 -> 127.0.0.1:8007, sz=55 is delivered
12:45:41.031245 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:36561, sz=34 is dropped
12:45:48.970142 [queue=0] packet #0, 127.0.0.1:57983 -> 127.0.0.1:8007, sz=55 is dropped
12:45:55.144340 [queue=1] packet #0, 127.0.0.1:55774 -> 127.0.0.1:8007, sz=55 is delayed for 6.7ms
12:45:55.151574 [queue=0] packet #0, 127.0.0.1:55774 -> 127.0.0.1:8007, sz=55 is delivered
12:45:55.151925 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55774, sz=34 is delayed for 7.1ms
12:45:55.160188 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55774, sz=34 is delivered
13:24:57.223768 [queue=1] packet #0, 127.0.0.1:55664 -> 127.0.0.1:8007, sz=7 is delayed for 2.6ms
13:24:57.227049 [queue=0] packet #0, 127.0.0.1:55664 -> 127.0.0.1:8007, sz=7 is delivered
13:25:02.229144 [queue=1] packet #0, 127.0.0.1:55664 -> 127.0.0.1:8007, sz=7 is delayed for 8.1ms
13:25:02.238453 [queue=0] packet #0, 127.0.0.1:55664 -> 127.0.0.1:8007, sz=7 is delivered
13:25:07.234434 [queue=1] packet #0, 127.0.0.1:55664 -> 127.0.0.1:8007, sz=7 is delayed for 6.6ms
13:25:07.241731 [queue=0] packet #0, 127.0.0.1:55664 -> 127.0.0.1:8007, sz=7 is delivered
13:30:01.791517 [queue=1] packet #0, 127.0.0.1:55987 -> 127.0.0.1:8007, sz=7 is delayed for 9.3ms
13:30:01.801837 [queue=0] packet #0, 127.0.0.1:55987 -> 127.0.0.1:8007, sz=7 is delivered
13:30:01.802019 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55987, sz=23 is dropped
13:30:06.796862 [queue=1] packet #0, 127.0.0.1:55987 -> 127.0.0.1:8007, sz=7 is delayed for 8.1ms
13:30:06.806169 [queue=0] packet #0, 127.0.0.1:55987 -> 127.0.0.1:8007, sz=7 is delivered
13:30:06.806284 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55987, sz=23 is delayed for 7.5ms
13:30:06.814524 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55987, sz=23 is delivered
13:31:21.255460 [queue=1] packet #0, 127.0.0.1:41708 -> 127.0.0.1:8007, sz=7 is delayed for 1ms
13:31:21.256616 [queue=0] packet #0, 127.0.0.1:41708 -> 127.0.0.1:8007, sz=7 is delivered
13:31:21.256729 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41708, sz=23 is delayed for 4.9ms
13:31:21.261917 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41708, sz=23 is delivered
13:32:49.368057 [queue=1] packet #0, 127.0.0.1:38040 -> 127.0.0.1:8007, sz=7 is delayed for 1.8ms
13:32:49.370257 [queue=0] packet #0, 127.0.0.1:38040 -> 127.0.0.1:8007, sz=7 is delivered
13:32:49.370338 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:38040, sz=23 is delayed for 300µs
13:32:49.371455 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:38040, sz=23 is delivered
13:36:03.984862 [queue=1] packet #0, 127.0.0.1:57815 -> 127.0.0.1:8007, sz=7 is delayed for 4.7ms
13:36:03.990093 [queue=0] packet #0, 127.0.0.1:57815 -> 127.0.0.1:8007, sz=7 is delivered
13:36:03.990218 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57815, sz=23 is delayed for 3.2ms
13:36:03.994399 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57815, sz=23 is delivered
13:37:18.539854 [queue=0] packet #0, 127.0.0.1:55211 -> 127.0.0.1:8007, sz=7 is dropped
13:37:23.545115 [queue=1] packet #0, 127.0.0.1:55211 -> 127.0.0.1:8007, sz=7 is delayed for 4ms
13:37:23.549466 [queue=0] packet #0, 127.0.0.1:55211 -> 127.0.0.1:8007, sz=7 is delivered
13:37:23.549672 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55211, sz=23 is delayed for 5.1ms
13:37:23.555979 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55211, sz=23 is delivered
13:41:56.307940 [queue=1] packet #0, 127.0.0.1:47866 -> 127.0.0.1:8007, sz=55 is delayed for 4ms
13:41:56.312240 [queue=0] packet #0, 127.0.0.1:47866 -> 127.0.0.1:8007, sz=55 is delivered
13:41:56.312961 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:47866, sz=34 is delayed for 4.4ms
13:41:56.318202 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:47866, sz=34 is delivered
13:42:00.391979 [queue=1] packet #0, 127.0.0.1:33897 -> 127.0.0.1:8007, sz=55 is delayed for 500µs
13:42:00.393131 [queue=0] packet #0, 127.0.0.1:33897 -> 127.0.0.1:8007, sz=55 is delivered
13:42:00.393286 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:33897, sz=34 is dropped
13:44:02.703537 [queue=1] packet #0, 127.0.0.1:51004 -> 127.0.0.1:8007, sz=55 is delayed for 9ms
13:44:02.712799 [queue=0] packet #0, 127.0.0.1:51004 -> 127.0.0.1:8007, sz=55 is delivered
13:44:02.713066 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51004, sz=34 is dropped
13:44:29.858860 [queue=0] packet #0, 127.0.0.1:34149 -> 127.0.0.1:8007, sz=7 is dropped
13:44:34.863642 [queue=1] packet #0, 127.0.0.1:34149 -> 127.0.0.1:8007, sz=7 is delayed for 3.1ms
13:44:34.866901 [queue=0] packet #0, 127.0.0.1:34149 -> 127.0.0.1:8007, sz=7 is delivered
13:44:34.867058 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:34149, sz=23 is dropped
13:44:39.865460 [queue=1] packet #0, 127.0.0.1:34149 -> 127.0.0.1:8007, sz=7 is delayed for 2.2ms
13:44:39.868824 [queue=0] packet #0, 127.0.0.1:34149 -> 127.0.0.1:8007, sz=7 is delivered
13:44:39.869007 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:34149, sz=23 is dropped
13:44:44.869708 [queue=0] packet #0, 127.0.0.1:34149 -> 127.0.0.1:8007, sz=7 is dropped
13:44:49.873468 [queue=1] packet #0, 127.0.0.1:34149 -> 127.0.0.1:8007, sz=7 is delayed for 4.3ms
13:44:49.878851 [queue=0] packet #0, 127.0.0.1:34149 -> 127.0.0.1:8007, sz=7 is delivered
13:44:49.879087 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:34149, sz=23 is dropped
13:44:54.879051 [queue=1] packet #0, 127.0.0.1:34149 -> 127.0.0.1:8007, sz=55 is delayed for 1ms
13:44:54.880246 [queue=0] packet #0, 127.0.0.1:34149 -> 127.0.0.1:8007, sz=55 is delivered
13:44:54.880484 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:34149, sz=34 is delayed for 4ms
13:44:54.884724 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:34149, sz=34 is delivered
13:45:01.698708 [queue=1] packet #0, 127.0.0.1:55773 -> 127.0.0.1:8007, sz=7 is delayed for 6.2ms
13:45:01.706017 [queue=0] packet #0, 127.0.0.1:55773 -> 127.0.0.1:8007, sz=7 is delivered
13:45:01.706141 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55773, sz=23 is delayed for 1.5ms
13:45:01.708344 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55773, sz=23 is delivered
13:45:01.708495 [queue=1] packet #0, 127.0.0.1:55773 -> 127.0.0.1:8007, sz=55 is delayed for 3.9ms
13:45:01.712690 [queue=0] packet #0, 127.0.0.1:55773 -> 127.0.0.1:8007, sz=55 is delivered
